Episode,success,spl,distance_to_goal,Episode Steps,start and goal distance,travel distance,Found Goal,End,object_goal
10,1.0,0.19328419606244918,0.15357354283332825,378,7.413824081420898,38.20711152255535,True,1,Find the <sofa>.
11,1.0,0.7330174136151079,0.1012447252869606,54,3.3546252250671387,4.500000834465027,True,1,Find the <chair>.
12,1.0,0.4443174318748571,0.1352662891149521,256,8.90720272064209,19.75000113248825,True,1,Find the <potted_plant>.
13,1.0,0.6378272178265981,0.10300132632255554,142,6.93231201171875,10.750001415610313,True,1,Find the <bed>.
14,1.0,0.4846661929044399,0.03097355365753174,168,7.457959175109863,15.250003844499588,True,1,Find the <bed>.
15,1.0,0.19979451413056337,0.15087613463401794,280,6.0283918380737305,29.97751758992672,True,1,Find the <bed>.
16,1.0,0.5274456857355354,0.032082512974739075,123,5.2744574546813965,10.000000059604645,True,1,Find the <chair>.
17,1.0,0.16749432240573156,0.03410843387246132,227,3.8772830963134766,22.9999960064888,True,1,Find the <potted_plant>.
18,1.0,0.18633702719411493,0.1529061198234558,309,4.563031196594238,24.338055163621902,True,1,Find the <sofa>.
19,1.0,0.2793892531823001,0.15423914790153503,152,2.9595489501953125,10.442920178174973,True,1,Find the <chair>.
