Episode,success,spl,distance_to_goal,Episode Steps,start and goal distance,travel distance,Found Goal,End,object_goal
50,0.0,0.0,1.4435445070266724,500,5.529036521911621,43.864479064941406,False,1,Find the <potted_plant>.
51,1.0,0.22805580164120084,0.022211484611034393,165,3.239541530609131,14.204939469695091,True,1,Find the <chair>.
52,1.0,0.2200350525616057,0.1027829721570015,143,3.102494239807129,14.00000087916851,True,1,Find the <chair>.
53,1.0,0.35913532417691857,0.1517924815416336,306,6.7367072105407715,18.608131408691406,True,1,Find the <tv_monitor>.
54,0.0,0.0,3.6490392684936523,21,4.010105133056641,0.7500001788139343,True,1,Find the <chair>.
55,1.0,0.8591357899764818,0.04993337392807007,59,4.447636604309082,4.999998643994331,True,1,Find the <bed>.
56,1.0,0.7364044188080932,0.056529972702264786,32,1.6689679622650146,2.2499996572732925,True,1,Find the <chair>.
57,0.0,0.0,4.124744415283203,500,7.290986061096191,44.43374536931515,False,1,Find the <potted_plant>.
58,1.0,0.35076736311424883,0.08245400339365005,441,17.179994583129883,48.69740930199623,True,1,Find the <tv_monitor>.
59,0.0,0.0,7.662492752075195,500,10.498845100402832,46.000008434057236,False,1,Find the <potted_plant>.
