Episode,success,spl,distance_to_goal,Episode Steps,start and goal distance,travel distance,Found Goal,End,object_goal
30,0.0,0.0,10.32617473602295,388,9.098602294921875,39.45209777355194,True,1,Find the <tv_monitor>.
31,1.0,0.31126971518076857,0.13333413004875183,415,11.537384033203125,36.96555584669113,True,1,Find the <bed>.
32,1.0,0.45882604289986395,0.13081009685993195,133,5.6344990730285645,12.222762554883957,True,1,Find the <chair>.
33,0.0,0.0,19.627941131591797,500,12.831668853759766,46.66445776820183,False,1,Find the <tv_monitor>.
34,0.0,0.0,5.995386123657227,494,2.4662444591522217,40.20971167087555,False,1,Find the <sofa>.
35,0.0,0.0,8.26349925994873,500,8.68960952758789,48.55711689591408,False,1,Find the <bed>.
36,0.0,0.0,15.193340301513672,90,13.73777961730957,9.185592502355576,True,1,Find the <chair>.
37,1.0,0.03697960562028802,0.08391988277435303,500,1.9525848627090454,52.74998112022877,False,1,Find the <potted_plant>.
38,1.0,0.16264237154903388,0.05848759785294533,76,1.1059691905975342,6.750002026557922,True,1,Find the <bed>.
39,0.0,0.0,1.754361629486084,47,4.373582363128662,3.250000298023224,True,1,Find the <tv_monitor>.
