Episode,success,spl,distance_to_goal,Episode Steps,start and goal distance,travel distance,Found Goal,End,object_goal
0,1.0,0.47088843247658624,0.02127319946885109,128,4.591165542602539,9.750003725290298,True,1,Find the <toilet>.
1,1.0,0.2106939120948465,0.1503785401582718,203,3.929440975189209,18.500000596046448,True,1,Find the <chair>.
2,1.0,0.136792345161844,0.2291645109653473,500,5.481472969055176,39.732930809259415,False,1,Find the <potted_plant>.
3,1.0,0.3254930944195846,0.8360364437103271,240,7.161682605743408,21.952562004327774,True,1,Find the <bed>.
4,1.0,0.7771099888004156,0.08553680032491684,34,2.3766541481018066,3.000000163912773,True,1,Find the <tv_monitor>.
5,1.0,0.513289321383687,0.15011458098888397,70,3.653221607208252,6.999999940395355,True,1,Find the <sofa>.
6,1.0,0.11774497010462114,0.15312546491622925,328,3.16733980178833,26.75000235438347,True,1,Find the <toilet>.
7,1.0,0.6555828229635415,0.10786470025777817,97,4.310272693634033,6.500003635883331,True,1,Find the <toilet>.
8,1.0,0.5878829286532073,0.15004172921180725,64,3.7624495029449463,6.250001132488251,True,1,Find the <sofa>.
9,0.0,0.0,4.449455261230469,45,2.169389247894287,4.249999642372131,True,1,Find the <chair>.
