Episode,success,spl,distance_to_goal,Episode Steps,start and goal distance,travel distance,Found Goal,End,object_goal
20,0.0,0.0,1.885664939880371,500,3.518460273742676,48.879772543907166,False,1,Find the <tv_monitor>.
21,1.0,0.33499768411547187,0.06393778324127197,252,8.141347885131836,24.25000263750553,True,1,Find the <bed>.
22,1.0,0.08175533782445298,0.02776268497109413,379,3.502995729446411,42.25000578165054,True,1,Find the <chair>.
23,0.0,0.0,12.938783645629883,154,21.8461856842041,13.999999836087227,True,1,Find the <tv_monitor>.
24,1.0,0.1601339979146629,0.15593233704566956,500,8.416059494018555,51.650206639459384,False,1,Find the <bed>.
25,1.0,0.281345961662716,0.01884639635682106,135,3.446488380432129,12.249997809529305,True,1,Find the <chair>.
26,0.0,0.0,9.385284423828125,500,4.9545979499816895,40.85373830795288,False,1,Find the <potted_plant>.
27,1.0,0.39501328675531505,0.06826353818178177,99,3.0370726585388184,7.500001177191734,True,1,Find the <chair>.
28,0.0,0.0,4.368001461029053,417,9.027081489562988,42.967893198132515,True,1,Find the <chair>.
29,1.0,0.1306192607203675,0.039558812975883484,229,2.5436954498291016,19.474121801555157,True,1,Find the <sofa>.
